name,alexander_polynomial
5_1,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}"
6_1,"{0: 2, 1: -5, 2: 2}"
6_2,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}"
6_3,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}"
7_1,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}"
7_2,"{0: 3, 1: -5, 2: 3}"
7_3,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}"
7_4,"{0: 4, 1: -7, 2: 4}"
7_5,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}"
7_6,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}"
7_7,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}"
8_1,"{0: 3, 1: -7, 2: 3}"
8_2,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}"
8_3,"{0: 4, 1: -9, 2: 4}"
8_4,"{0: 2, 1: -5, 2: 5, 3: -5, 4: 2}"
8_5,"{0: 1, 1: -3, 2: 4, 3: -5, 4: 4, 5: -3, 6: 1}"
8_6,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}"
8_7,"{0: 1, 1: -3, 2: 5, 3: -5, 4: 5, 5: -3, 6: 1}"
8_8,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}"
8_9,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}"
8_10,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}"
8_11,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}"
8_12,"{0: 1, 1: -7, 2: 13, 3: -7, 4: 1}"
8_13,"{0: 2, 1: -7, 2: 11, 3: -7, 4: 2}"
8_14,"{0: 2, 1: -8, 2: 11, 3: -8, 4: 2}"
8_15,"{0: 3, 1: -8, 2: 11, 3: -8, 4: 3}"
8_16,"{0: 1, 1: -4, 2: 8, 3: -9, 4: 8, 5: -4, 6: 1}"
8_17,"{0: 1, 1: -4, 2: 8, 3: -11, 4: 8, 5: -4, 6: 1}"
8_18,"{0: 1, 1: -5, 2: 10, 3: -13, 4: 10, 5: -5, 6: 1}"
8_19,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}"
8_20,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}"
8_21,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}"
9_1,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1, 7: -1, 8: 1}"
9_3,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 2}"
9_4,"{0: 3, 1: -5, 2: 5, 3: -5, 4: 3}"
9_5,"{0: 6, 1: -11, 2: 6}"
9_6,"{0: 2, 1: -4, 2: 5, 3: -5, 4: 5, 5: -4, 6: 2}"
9_7,"{0: 3, 1: -7, 2: 9, 3: -7, 4: 3}"
9_9,"{0: 2, 1: -4, 2: 6, 3: -7, 4: 6, 5: -4, 6: 2}"
9_10,"{0: 4, 1: -8, 2: 9, 3: -8, 4: 4}"
9_11,"{0: 1, 1: -5, 2: 7, 3: -7, 4: 7, 5: -5, 6: 1}"
9_12,"{0: 2, 1: -9, 2: 13, 3: -9, 4: 2}"
9_13,"{0: 4, 1: -9, 2: 11, 3: -9, 4: 4}"
9_14,"{0: 2, 1: -9, 2: 15, 3: -9, 4: 2}"
9_15,"{0: 2, 1: -10, 2: 15, 3: -10, 4: 2}"
9_16,"{0: 2, 1: -5, 2: 8, 3: -9, 4: 8, 5: -5, 6: 2}"
