knot,crossings
7_6,7
16nh_0000590,16
16nh_0001773,16
16nh_0002096,16
16nh_0002095,16
16nh_0002937,16
16nh_0004586,16
16nh_0004697,16
16nh_0005174,16
16nh_0005456,16
16nh_0008452,16
16nh_0008668,16
16nh_0009437,16
16nh_0009436,16
16nh_0009717,16
16nh_0009853,16
16nh_0011453,16
16nh_0012505,16
16nh_0012981,16
16nh_0014228,16
16nh_0016159,16
16nh_0016923,16
16nh_0017316,16
16nh_0017317,16
16nh_0017663,16
16nh_0017874,16
16nh_0018940,16
16nh_0019340,16
16nh_0022259,16
16nh_0023192,16
16nh_0023198,16
16nh_0024378,16
16nh_0027060,16
16nh_0027356,16
16nh_0030131,16
16nh_0031269,16
16nh_0031742,16
16nh_0033611,16
16nh_0035407,16
16nh_0036253,16
16nh_0039871,16
16nh_0043246,16
16nh_0044495,16
16nh_0045232,16
16nh_0045535,16
16nh_0047790,16
16nh_0048836,16
16nh_0048837,16
16nh_0049849,16
16nh_0051260,16
16nh_0052516,16
16nh_0052515,16
16nh_0052550,16
16nh_0055371,16
16nh_0057420,16
16nh_0058109,16
16nh_0058351,16
16nh_0058642,16
16nh_0059036,16
16nh_0059785,16
16nh_0061818,16
16nh_0064183,16
16nh_0067314,16
16nh_0067510,16
16nh_0068269,16
16nh_0069064,16
16nh_0069607,16
16nh_0072157,16
16nh_0072537,16
16nh_0072536,16
16nh_0074118,16
16nh_0074117,16
16nh_0074571,16
16nh_0074572,16
16nh_0078691,16
16nh_0080371,16
16nh_0081628,16
16nh_0081623,16
16nh_0081624,16
16nh_0081626,16
16nh_0081625,16
16nh_0081627,16
16nh_0084251,16
16nh_0084342,16
16nh_0089883,16
16nh_0091985,16
16nh_0100899,16
16nh_0101437,16
16nh_0104710,16
16nh_0106210,16
16nh_0107324,16
16nh_0108452,16
16nh_0108850,16
16nh_0109726,16
16nh_0109757,16
16nh_0109750,16
16nh_0110967,16
16nh_0112749,16
16nh_0112905,16
16nh_0117317,16
16nh_0117773,16
16nh_0118768,16
16nh_0119041,16
16nh_0119409,16
16nh_0119591,16
16nh_0121551,16
16nh_0123370,16
16nh_0126523,16
16nh_0126522,16
16nh_0126524,16
16nh_0126735,16
16nh_0128263,16
16nh_0129880,16
16nh_0134600,16
16nh_0135510,16
16nh_0136584,16
16nh_0136586,16
16nh_0136585,16
16nh_0136587,16
16nh_0136665,16
16nh_0137250,16
16nh_0137447,16
16nh_0138004,16
16nh_0138003,16
16nh_0139073,16
16nh_0144200,16
16nh_0147816,16
16nh_0147817,16
16nh_0151529,16
16nh_0151531,16
16nh_0151530,16
16nh_0151528,16
16nh_0152558,16
16nh_0156726,16
16nh_0156727,16
16nh_0158383,16
16nh_0160633,16
16nh_0162218,16
16nh_0164087,16
16nh_0164086,16
16nh_0165470,16
16nh_0165878,16
16nh_0171296,16
16nh_0173213,16
16nh_0173214,16
16nh_0173647,16
16nh_0177101,16
16nh_0182955,16
16nh_0183436,16
16nh_0184715,16
16nh_0191041,16
16nh_0191302,16
16nh_0191798,16
16nh_0192118,16
16nh_0194280,16
16nh_0194727,16
16nh_0195658,16
16nh_0197680,16
16nh_0211185,16
16nh_0212712,16
16nh_0214372,16
16nh_0214964,16
16nh_0218420,16
16nh_0220036,16
16nh_0225160,16
16nh_0234834,16
16nh_0236906,16
16nh_0239361,16
16nh_0243090,16
16nh_0243089,16
16nh_0246701,16
16nh_0249092,16
16nh_0249318,16
16nh_0254211,16
16nh_0256070,16
16nh_0258196,16
16nh_0263474,16
16nh_0266311,16
16nh_0267011,16
16nh_0269215,16
16nh_0270987,16
16nh_0273801,16
16nh_0275239,16
16nh_0283064,16
16nh_0286712,16
16nh_0287877,16
16nh_0290415,16
16nh_0310221,16
16nh_0310708,16
16nh_0310707,16
16nh_0311693,16
16nh_0312655,16
16nh_0314126,16
16nh_0315903,16
16nh_0319590,16
16nh_0322278,16
16nh_0323593,16
16nh_0325310,16
16nh_0325311,16
16nh_0326700,16
16nh_0332752,16
16nh_0338801,16
16nh_0344365,16
16nh_0344366,16
16nh_0348754,16
16nh_0352436,16
16nh_0352435,16
16nh_0358739,16
16nh_0358740,16
16nh_0364600,16
16nh_0365528,16
16nh_0365529,16
16nh_0365530,16
16nh_0365531,16
16nh_0370893,16
16nh_0370894,16
16nh_0372154,16
16nh_0378374,16
16nh_0382990,16
16nh_0382991,16
16nh_0387021,16
16nh_0387020,16
16nh_0390967,16
16nh_0399779,16
16nh_0401654,16
16nh_0411175,16
16nh_0416730,16
16nh_0416729,16
16nh_0416731,16
16nh_0416732,16
16nh_0419617,16
16nh_0422746,16
16nh_0423168,16
16nh_0430341,16
16nh_0430877,16
16nh_0431410,16
16nh_0431888,16
16nh_0442290,16
16nh_0447894,16
16nh_0450419,16
16nh_0450921,16
16nh_0468637,16
16nh_0468636,16
16nh_0480052,16
16nh_0480978,16
16nh_0485782,16
16nh_0496200,16
16nh_0511910,16
16nh_0512900,16
16nh_0513233,16
16nh_0527883,16
16nh_0534580,16
16nh_0561505,16
16nh_0561504,16
16nh_0572687,16
16nh_0572688,16
16nh_0584651,16
16nh_0587777,16
16nh_0607995,16
16nh_0622440,16
16nh_0656816,16
16nh_0685104,16
16nh_0685105,16
16nh_0690624,16
16nh_0738458,16
16nh_0743127,16
16nh_0743128,16
16nh_0747741,16
16nh_0763332,16
16nh_0841135,16
16nh_0841134,16
16nh_0864678,16
16nh_0864677,16
