name,crossings
8_14,8
9_8,9
16nh_0001539,16
16nh_0001554,16
16nh_0001708,16
16nh_0003260,16
16nh_0003261,16
16nh_0003679,16
16nh_0007618,16
16nh_0007653,16
16nh_0008900,16
16nh_0010155,16
16nh_0010719,16
16nh_0011146,16
16nh_0012273,16
16nh_0012381,16
16nh_0012530,16
16nh_0013741,16
16nh_0013761,16
16nh_0013889,16
16nh_0014415,16
16nh_0014601,16
16nh_0014600,16
16nh_0015746,16
16nh_0015877,16
16nh_0016110,16
16nh_0016115,16
16nh_0016149,16
16nh_0017576,16
16nh_0017811,16
16nh_0017812,16
16nh_0018068,16
16nh_0018208,16
16nh_0019412,16
16nh_0019467,16
16nh_0020788,16
16nh_0022162,16
16nh_0022931,16
16nh_0023730,16
16nh_0024587,16
16nh_0025418,16
16nh_0025483,16
16nh_0025886,16
16nh_0026512,16
16nh_0028608,16
16nh_0029250,16
16nh_0030010,16
16nh_0030662,16
16nh_0030663,16
16nh_0036313,16
16nh_0037949,16
16nh_0039961,16
16nh_0040184,16
16nh_0045348,16
16nh_0045649,16
16nh_0046595,16
16nh_0047855,16
16nh_0048043,16
16nh_0049208,16
16nh_0049891,16
16nh_0050153,16
16nh_0051732,16
16nh_0052505,16
16nh_0054573,16
16nh_0055699,16
16nh_0055835,16
16nh_0056189,16
16nh_0056829,16
16nh_0059347,16
16nh_0060221,16
16nh_0060400,16
16nh_0060401,16
16nh_0062079,16
16nh_0062080,16
16nh_0063634,16
16nh_0063635,16
16nh_0063636,16
16nh_0063637,16
16nh_0063953,16
16nh_0065048,16
16nh_0066711,16
16nh_0069304,16
16nh_0069545,16
16nh_0069554,16
16nh_0069591,16
16nh_0075417,16
16nh_0075498,16
16nh_0076278,16
16nh_0076458,16
16nh_0076459,16
16nh_0076462,16
16nh_0076460,16
16nh_0076463,16
16nh_0076461,16
16nh_0078905,16
16nh_0080378,16
16nh_0080379,16
16nh_0080861,16
16nh_0081074,16
16nh_0083957,16
16nh_0086929,16
16nh_0091739,16
16nh_0092461,16
16nh_0094361,16
16nh_0094948,16
16nh_0095226,16
16nh_0097040,16
16nh_0098012,16
16nh_0099825,16
16nh_0101420,16
16nh_0102989,16
16nh_0103166,16
16nh_0104520,16
16nh_0105271,16
16nh_0112656,16
16nh_0114732,16
16nh_0115245,16
16nh_0115910,16
16nh_0117361,16
16nh_0117756,16
16nh_0117772,16
16nh_0123396,16
16nh_0125853,16
16nh_0127895,16
16nh_0129671,16
16nh_0129672,16
16nh_0129673,16
16nh_0129674,16
16nh_0130967,16
16nh_0133909,16
16nh_0134369,16
16nh_0136090,16
16nh_0137965,16
16nh_0139111,16
16nh_0139581,16
16nh_0141102,16
16nh_0147248,16
16nh_0147381,16
16nh_0147645,16
16nh_0150244,16
16nh_0151536,16
16nh_0153798,16
16nh_0153995,16
16nh_0157859,16
16nh_0164998,16
16nh_0167430,16
16nh_0167431,16
16nh_0167535,16
16nh_0167536,16
16nh_0175638,16
16nh_0176268,16
16nh_0177489,16
16nh_0180897,16
16nh_0180898,16
16nh_0182716,16
16nh_0182717,16
16nh_0182715,16
16nh_0182718,16
16nh_0185556,16
16nh_0190771,16
16nh_0190839,16
16nh_0193060,16
16nh_0206292,16
16nh_0206293,16
16nh_0207187,16
16nh_0210465,16
16nh_0211303,16
16nh_0218805,16
16nh_0222606,16
16nh_0222780,16
16nh_0223592,16
16nh_0224002,16
16nh_0225365,16
16nh_0226453,16
16nh_0232069,16
16nh_0233957,16
16nh_0238252,16
16nh_0245160,16
16nh_0245703,16
16nh_0247793,16
16nh_0257068,16
16nh_0261549,16
16nh_0273114,16
16nh_0273312,16
16nh_0273381,16
16nh_0277067,16
16nh_0277574,16
16nh_0279438,16
16nh_0283814,16
16nh_0296864,16
16nh_0298114,16
16nh_0302836,16
16nh_0309664,16
16nh_0312898,16
16nh_0315772,16
16nh_0320229,16
16nh_0326922,16
16nh_0332871,16
16nh_0343782,16
16nh_0343784,16
16nh_0343783,16
16nh_0343785,16
16nh_0344577,16
16nh_0347974,16
16nh_0358692,16
16nh_0358693,16
16nh_0360086,16
16nh_0372056,16
16nh_0377763,16
16nh_0377764,16
16nh_0382403,16
16nh_0388578,16
16nh_0389342,16
16nh_0389343,16
16nh_0394595,16
16nh_0398497,16
16nh_0407990,16
16nh_0410673,16
16nh_0410674,16
16nh_0436886,16
16nh_0446389,16
16nh_0449861,16
16nh_0466037,16
16nh_0475523,16
16nh_0484275,16
16nh_0484276,16
16nh_0487076,16
16nh_0491777,16
16nh_0495019,16
16nh_0495020,16
16nh_0496140,16
16nh_0496141,16
16nh_0503785,16
16nh_0503786,16
16nh_0516388,16
16nh_0587480,16
16nh_0587479,16
16nh_0589569,16
16nh_0592878,16
16nh_0618918,16
16nh_0621810,16
16nh_0638653,16
16nh_0638654,16
16nh_0638655,16
16nh_0638656,16
16nh_0644556,16
16nh_0654565,16
16nh_0663633,16
16nh_0664770,16
16nh_0668492,16
16nh_0684118,16
16nh_0684117,16
16nh_0733777,16
16nh_0733776,16
17ns_28,17
17nh_0001632,17
17nh_0002053,17
17nh_0002647,17
17nh_0003165,17
17nh_0003600,17
17nh_0003911,17
17nh_0004603,17
17nh_0007085,17
17nh_0007877,17
17nh_0011589,17
17nh_0011654,17
17nh_0011674,17
17nh_0011932,17
17nh_0012475,17
17nh_0013798,17
17nh_0020624,17
17nh_0020742,17
17nh_0022345,17
17nh_0023621,17
17nh_0024156,17
17nh_0024814,17
17nh_0025638,17
17nh_0025969,17
17nh_0026675,17
17nh_0027570,17
17nh_0027571,17
17nh_0029096,17
17nh_0029930,17
17nh_0031179,17
17nh_0031890,17
17nh_0033105,17
17nh_0035590,17
17nh_0036825,17
17nh_0037607,17
17nh_0039568,17
17nh_0041555,17
17nh_0042038,17
17nh_0043737,17
17nh_0043738,17
17nh_0045210,17
17nh_0046104,17
17nh_0046257,17
17nh_0048252,17
17nh_0049102,17
17nh_0049167,17
17nh_0053541,17
17nh_0054020,17
17nh_0054021,17
17nh_0056772,17
17nh_0057258,17
17nh_0058340,17
17nh_0059586,17
17nh_0059585,17
17nh_0060381,17
17nh_0062311,17
17nh_0063267,17
17nh_0063631,17
17nh_0063632,17
17nh_0064458,17
17nh_0064757,17
17nh_0066378,17
17nh_0067103,17
17nh_0069553,17
17nh_0070127,17
17nh_0076144,17
17nh_0076232,17
17nh_0079905,17
17nh_0081609,17
17nh_0082301,17
17nh_0082302,17
17nh_0082912,17
17nh_0083391,17
17nh_0083962,17
17nh_0086826,17
17nh_0087024,17
17nh_0089157,17
17nh_0090220,17
17nh_0091869,17
17nh_0092605,17
17nh_0092881,17
17nh_0096793,17
17nh_0098735,17
17nh_0101880,17
17nh_0102194,17
17nh_0103534,17
17nh_0107827,17
17nh_0108823,17
17nh_0112821,17
17nh_0115526,17
17nh_0116744,17
17nh_0116829,17
17nh_0117987,17
17nh_0122091,17
17nh_0122371,17
17nh_0123162,17
17nh_0125005,17
17nh_0125791,17
17nh_0125792,17
17nh_0127088,17
17nh_0127896,17
17nh_0128093,17
17nh_0128846,17
17nh_0130734,17
17nh_0131254,17
17nh_0132031,17
17nh_0132032,17
17nh_0132125,17
17nh_0132875,17
17nh_0132874,17
17nh_0133244,17
17nh_0136418,17
17nh_0137975,17
17nh_0138442,17
17nh_0141067,17
17nh_0143294,17
17nh_0143961,17
17nh_0144240,17
17nh_0147477,17
17nh_0149839,17
17nh_0149840,17
17nh_0149842,17
17nh_0149841,17
17nh_0151800,17
17nh_0151801,17
17nh_0153944,17
17nh_0156601,17
17nh_0159547,17
17nh_0163077,17
17nh_0163078,17
17nh_0163720,17
