name,crossings,dt_code
9_19,9,
16nh_0001120,16,fEIMLkCngPOaDhBJ
16nh_0003973,16,mOJIALKCnGBFpDhE
16nh_0005029,16,gmlkjOdINpfcbaHE
16nh_0005496,16,gfplmbaINedOjHKc
16nh_0006242,16,clnFJIPMoEDhbGaK
16nh_0007335,16,fIenmaHKPBOGJdcL
16nh_0008471,16,epLhaGJdnFmCoikb
16nh_0009655,16,dHobMLKNAGpFEIcj
16nh_0010059,16,ndjiMKpfbchOEaLg
16nh_0010284,16,lhJEOiaMfCBpNGKD
16nh_0010612,16,mgfIpdbLCONHaKJe
16nh_0011249,16,idGhpnmLaKOCbfJe
16nh_0012352,16,gfpJObaIMDCENHLK
16nh_0012758,16,blDHIONMCpEGaKFj
16nh_0013597,16,ihMLPKONaDFJCBGE
16nh_0013715,16,mOliAbkjdngfpChE
16nh_0014224,16,comKJILNFEDHpaGb
16nh_0014225,16,honmapJeKLFIdcbg
16nh_0014636,16,jgpnHmIbEaLOfdKc
16nh_0014867,16,eHplbGNAKoMdIFjc
16nh_0015878,16,fkjNMbHLpoeaGDCi
16nh_0016550,16,cNgEHpkaDMOfJIBL
16nh_0017082,16,iHEjGBoCmLdNApKf
16nh_0026376,16,mlGHaKPCBeNidOJF
16nh_0034382,16,dmonFIPJLEbaHkcG
16nh_0037049,16,khEOPJIaMLbNFGDC
16nh_0037561,16,nkmGbHPCLOaIedJF
16nh_0039774,16,bkDGPjMCONaeHFIL
16nh_0042729,16,ngJpcmiLBfOHaeKd
16nh_0049075,16,dNMhFIpkaEOgJBCL
16nh_0055074,16,fKMoLjHNBeAIDGpc
16nh_0055824,16,edmlkGINFpoacbHj
16nh_0060500,16,gfmnjbaIOdecPkHL
16nh_0061147,16,gdnmoJlIKEHpacbf
16nh_0061148,16,egmonKJaFLHIbpdc
16nh_0065385,16,gMHKolnIBpCDfAej
16nh_0071895,16,blDIPJNKMCOHaGFE
16nh_0087049,16,doipKJLNFcEHbaGm
16nh_0092772,16,fdopIaKLNEGJcbHm
16nh_0095675,16,eIpnbHJLAFMOGdKc
16nh_0096068,16,cmkEHPILDonaGbjF
16nh_0099113,16,nejGbMDOPciHFaLK
16nh_0099291,16,dmflHIbOPGNacJKE
16nh_0106737,16,eJgLpMcfDBOIHAKN
16nh_0114690,16,iElGOHNBaFmjckPD
16nh_0114689,16,ekOlcGIMFpndaHBj
16nh_0118293,16,mfiGjbKCPedNaOLH
16nh_0118295,16,mFIgjBkcPedNaOLH
16nh_0118294,16,kjgpHacbnEfMOiLd
16nh_0118296,16,mfhJPiKcbeGNaOLD
16nh_0121995,16,lhnMIoJEaGCpDKfb
16nh_0134217,16,iehMLaNPbKOFDCJG
16nh_0141713,16,hLfpNaocJMDBEIKg
16nh_0142120,16,lDOGPHkCNMfaJIEB
16nh_0145612,16,fmkJIaDNEGPobHlC
16nh_0148674,16,mNGkjBOEApdciHFl
16nh_0154817,16,hlkFODNbJMpgaIEC
16nh_0155150,16,kfiaLOcNjbgMDPHE
16nh_0163412,16,cNjHIDolEamgpBfk
16nh_0163837,16,dmkbFNPlgOchjaEI
16nh_0164757,16,cmiEJPNOFaDHGbLK
16nh_0171389,16,hgLpFKoaJMCENIBd
16nh_0173575,16,imdobJnLaGEHKpfc
16nh_0176282,16,elihaGOdcNMPbJFK
16nh_0178985,16,fHlpmcKBGNOAeJId
16nh_0185801,16,igJmLpanfKBEohcd
16nh_0197333,16,ekpobIMLNGHaJFdc
16nh_0197334,16,cnkIHJMEDGpoaFlb
16nh_0202909,16,loNHpBKICMGaJDFe
16nh_0207690,16,cnmEILobaDgFphjk
16nh_0208357,16,ilmHnapDfKOecbJg
16nh_0269997,16,idmPlJoeaKFhnbgC
16nh_0272228,16,lMNJBpokeACgIDhf
16nh_0291315,16,ignhmbPdaKOcelJF
16nh_0292440,16,eoniaHMJdFpbcGlk
16nh_0299723,16,doMpJICBFEnaGHkl
16nh_0314267,16,gfJIMlkEOCNaHPBD
16nh_0325428,16,nghjmcPbelOdiaKF
16nh_0340326,16,edngaKLbOMHPIcJF
16nh_0346626,16,cFnJHKAEDmGoipbl
16nh_0364492,16,nhJlPkOmdCfibaGE
16nh_0381760,16,lepIboKMNCGaJHfd
16nh_0423016,16,clpGKJIMONEHaDFb
16nh_0423017,16,clpGJNMOFEDHaIKb
16nh_0483949,16,dokpMLbaNHfcEIJg
16nh_0521300,16,dNGpFKLJoMBECHAi
16nh_0522775,16,cgpLINMaEDFHOKJb
16nh_0522776,16,ckpGMJILONHaEDFb
16nh_0523691,16,kfiLbhoaednMCpgj
16nh_0525209,16,khgoibLeacnMFpdj
16nh_0583174,16,ilnhbKcmaFOPdgJE
16nh_0628970,16,cfiMLoaDpbenHGkj
16nh_0632484,16,bmFLiCKJdONEpaGH
16nh_0672543,16,mpOHBILJCFNGaKDE
16nh_0675476,16,nfjOimlcehgPbaDK
16nh_0687129,16,ifohbKdnaMPEJcgL
16nh_0708996,16,hdfgKJnaMLOPIcbE
16nh_0712146,16,dlmaINcbOFHPgJEK
16nh_0769240,16,goKHCLnDJMEBIpaf
16nh_0769241,16,jnEFBKpiloCDhamg
16nh_0769238,16,mjobkHIENpldaFGc
16nh_0769239,16,cojMFINKEpaGDLHb
