name,crossings,alexander_polynomial,matched_name
17nh_0000012,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0000005,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0000009,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0000076,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0000099,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0000138,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0000185,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000184,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000191,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0000203,17,"{0: 3, 1: -7, 2: 3}",8_1
17nh_0000256,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0000263,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0000282,17,"{0: 1, 1: -3, 2: 4, 3: -5, 4: 4, 5: -3, 6: 1}",8_5
17nh_0000308,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0000307,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0000317,17,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}",8_21
17nh_0000343,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0000400,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0000406,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000407,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000428,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0000476,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000477,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000648,17,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
17nh_0000678,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000700,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0000749,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0000756,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
17nh_0000763,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0000764,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0000787,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0000792,17,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
17nh_0000830,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0000838,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000847,17,"{0: 2, 1: -7, 2: 11, 3: -7, 4: 2}",8_13
17nh_0000866,17,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
17nh_0000874,17,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
17nh_0000898,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0000902,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000903,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0000915,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0000934,17,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}",7_7
17nh_0000945,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0000969,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0000989,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0001022,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0001054,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001073,17,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
17nh_0001092,17,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}",8_21
17nh_0001096,17,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
17nh_0001097,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0001124,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0001147,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001212,17,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
17nh_0001219,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001227,17,"{0: 3, 1: -7, 2: 3}",8_1
17nh_0001231,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0001236,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0001235,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0001253,17,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
17nh_0001268,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0001272,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0001278,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001300,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001327,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0001337,17,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}",8_21
17nh_0001350,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001358,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
17nh_0001356,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0001377,17,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
17nh_0001403,17,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
17nh_0001406,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001425,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0001448,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0001471,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001479,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001499,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0001518,17,"{0: 2, 1: -7, 2: 11, 3: -7, 4: 2}",8_13
17nh_0001530,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0001600,17,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
17nh_0001614,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001617,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0001626,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001632,17,"{0: 2, 1: -8, 2: 11, 3: -8, 4: 2}",8_14
17nh_0001637,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
