name,crossings,alexander_polynomial,matched_name
19nh_000000010,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000000078,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_000000149,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000000156,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000000333,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000000334,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000000631,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000000632,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000000974,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000001367,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_000001834,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000001998,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000002101,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000002209,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000002468,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000002634,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000002680,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000002681,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000002701,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_000002758,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_000002853,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_000002929,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000003130,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000003385,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000003389,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000003445,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000003503,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000003547,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000003579,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000003802,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000003885,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_000004495,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000004527,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000004739,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000004831,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_000004870,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_000005035,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000005134,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_000005152,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_000005171,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
