name,alexander_polynomial
3_1_plus_3_1,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}"
3_1_plus_4_1,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}"
4_1_plus_4_1,"{0: 1, 1: -6, 2: 11, 3: -6, 4: 1}"
3_1_plus_5_1,"{0: 1, 1: -2, 2: 3, 3: -3, 4: 3, 5: -2, 6: 1}"
3_1_plus_5_2,"{0: 2, 1: -5, 2: 7, 3: -5, 4: 2}"
3_1_plus_3_1_plus_3_1,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}"
4_1_plus_5_1,"{0: 1, 1: -4, 2: 5, 3: -5, 4: 5, 5: -4, 6: 1}"
4_1_plus_5_2,"{0: 2, 1: -9, 2: 13, 3: -9, 4: 2}"
3_1_plus_6_1,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}"
3_1_plus_6_2,"{0: 1, 1: -4, 2: 7, 3: -9, 4: 7, 5: -4, 6: 1}"
3_1_plus_6_3,"{0: 1, 1: -4, 2: 9, 3: -11, 4: 9, 5: -4, 6: 1}"
