name,crossings,dt_code
3_1_plus_4_1,7,
16nh_0000365,16,lgihKnJpcOEaDfmb
16nh_0001293,16,eliObHKMPdNGaFJC
16nh_0001362,16,fcmjOlHKAnGpIbED
16nh_0001658,16,ekmHpGLDONbFaJIC
16nh_0001684,16,kfOgbJdLpEnMHAiC
16nh_0001718,16,eKGOnLHBpDMFAJiC
16nh_0001864,16,joPhiBmadcLNgKfE
16nh_0002212,16,cliEMPkNbfOhaDGJ
16nh_0002965,16,lDgIKJMcOBEaNFPH
16nh_0005574,16,moKIaNjELBfCpHGd
16nh_0007642,16,mHONjBiAlpdfgECk
16nh_0007847,16,fmJINaDkgPOhbELC
16nh_0008190,16,mLNgAkOcFpiBeDHj
16nh_0008233,16,mefLHpjoDngiaCkb
16nh_0008347,16,lepibKONMcFaJHGd
16nh_0008455,16,mifKplbaNgeCjOHd
16nh_0008686,16,kFHoInLJDBpMGAec
16nh_0009031,16,lIFjBODaMgcpNHEk
16nh_0009675,16,fnIpocHKAmGdebjl
16nh_0011388,16,fOjEMpNkAlgbDCHI
16nh_0011578,16,dnmjFIPlEagOcbHK
16nh_0011642,16,gNLIHomJCDpEAfBk
16nh_0012851,16,mEiAlCjNfbgpdOHk
16nh_0012968,16,miNPlOkCjbafdHGE
16nh_0013020,16,lkNihpMBdoeaGFCj
16nh_0013866,16,kOglhAcbJMpNdIFE
16nh_0014324,16,ngKjpciMBdfOHaLe
16nh_0014773,16,lJPGkOCEaMhdNIBF
16nh_0016287,16,lfIOjbkaMedgNHPC
16nh_0018535,16,gloJCNpIMFDbaHEk
16nh_0018694,16,fIMenaHKPCOGBJdL
16nh_0019625,16,nkjilHmOPcbdgaFE
16nh_0020050,16,nkjiOPlEmcbfdaHG
16nh_0020135,16,jnFaoBEdKmLHpcgi
16nh_0021481,16,mfKPHalDGbNieOJC
16nh_0022398,16,mEGNiOLjkdhBpCAF
16nh_0022399,16,clpHjdMOfneGaiKb
16nh_0022621,16,gojPbmaKNLcHeIfD
16nh_0030464,16,dNipFKJOMaEGHBLc
16nh_0033124,16,ldfpKJbEMOGaNHIc
16nh_0033849,16,mEIAlCjNFBgpdOHk
16nh_0034713,16,gFJIpBnMDLOCHAeK
16nh_0035318,16,nFpjlAEdMHOgIbKc
16nh_0037051,16,jMEONiBKpfLHAGCD
16nh_0038300,16,enoHbLKCMGpFIadj
16nh_0042402,16,ljkaioedMgbcNHpf
16nh_0044408,16,mdJPlGNEKBIHaOFC
16nh_0044952,16,dmnkFIPJLEoaHcbG
16nh_0045456,16,lKFaOPijmnhdCgBE
16nh_0045457,16,koHIlBMECFnGdpaj
16nh_0046207,16,nlhjGkOPMcfaIbED
16nh_0046896,16,nijPbOmlkdehgaFC
16nh_0048202,16,eHpKbNOjAlDgiFMc
16nh_0050194,16,dkopFINJLEbHacGm
16nh_0050195,16,epokaILJNFcGdbHm
16nh_0051499,16,kjiNLChpfbaMEODg
16nh_0051534,16,mhejgOcpLNdIaKFb
16nh_0052166,16,jpFKnChlOaDBgIeM
16nh_0052729,16,hgnpoaJeMKFbcIld
16nh_0054694,16,jGMipNBFdcLOAHKe
16nh_0056872,16,jGNpiMBFdeLOAHKc
16nh_0059104,16,dnkpILOMEHFcJaGb
16nh_0059105,16,dokpFILJNEbGcaHm
16nh_0059470,16,lHDOGJMBKEIaNFPC
16nh_0062933,16,hLInoJdmKECABpfg
16nh_0065824,16,cjoLFMDkPgbiNEaH
16nh_0066106,16,lFOGIBEkDMhpNJAC
16nh_0069156,16,lCFIGOBkDMhpNJAE
16nh_0072030,16,hLEjGMCpKndAOFiB
16nh_0074103,16,eldobGJPNMFIaKcH
16nh_0077247,16,dMfjHLckNbpOIAEg
16nh_0080057,16,hMjkInDpEGlcOAfB
16nh_0081305,16,ekloaNifMgdpcHJb
16nh_0081304,16,fKLOBpNjgMhDEIAC
16nh_0081369,16,nHkOFMiBlCPgEaDJ
16nh_0082258,16,dnGjMLHBopaEFKci
16nh_0085080,16,jliGNMDPObFEaKCH
16nh_0088972,16,lEMijBdOkfgpNCAH
16nh_0090462,16,mgkaHObEDLcNpJFI
16nh_0091695,16,clpJINOMEDHGaKFb
16nh_0091694,16,hfgonJbmKLEIapdc
16nh_0093415,16,flimapKNOcHdbGJe
16nh_0096546,16,eGFnmIBlCaOhjpKd
16nh_0098892,16,bgKLCNjamopDhEif
16nh_0101620,16,hLeficMpNdGAOJBK
16nh_0101621,16,fDKMOpCjnghEAiBL
16nh_0101678,16,eJlopINKFAHcbdGm
16nh_0109361,16,dmjpFIKLEoaNbGHc
16nh_0110834,16,nfkgmPdclObihaEJ
16nh_0115148,16,blDIPJONMCFHaKGE
16nh_0115954,16,nfjOibamcegPhkDL
16nh_0120665,16,dCNjFLKmPHaEoBgI
16nh_0121508,16,biEHCKMDpanGoFjl
16nh_0121579,16,lkjFhOMPeabiNGCD
16nh_0123118,16,cnhEILomaDgFpbjk
16nh_0123956,16,lfMOJaekpgDiNBCh
16nh_0124284,16,nkgOPbJlDmFecaIH
16nh_0128369,16,eIpmbHKOALGNdJFc
16nh_0129081,16,dnlkFJPmOEacgbIH
16nh_0135505,16,jCGHnmBADpLOefKi
16nh_0135504,16,dJKpFNMOlABhiEGc
16nh_0136565,16,milpaHOJbENFdGKc
16nh_0136566,16,enFJlHCKBmGpoiad
16nh_0137086,16,iLhNbgpceKMAJODf
16nh_0137087,16,iLhnbGPceKMAJodF
16nh_0143676,16,kFLpoNAjedgMBChi
16nh_0146458,16,dHNaMjePBOfIGCKL
16nh_0152745,16,nkljOaPimcdbhfEG
16nh_0154616,16,iFMLhCNpdKOAEBJg
16nh_0160533,16,gjfMpdbILaNHOCKe
16nh_0162135,16,koiNhaLjbdpMFGCe
16nh_0164018,16,fOlgMpKcANDhJEBI
16nh_0167538,16,fDMKLpCjgnhAOiBe
16nh_0167537,16,fLEiOaNjgdhPBKCM
16nh_0170054,16,dHnoGILAEbcFpkjm
16nh_0171018,16,nHJmICOBAEFpkdGl
16nh_0176991,16,lGJFIoCMKDBpNHAe
16nh_0186263,16,dnlmGHJEopFicabk
16nh_0186264,16,egomnIJaKLHFpdbc
16nh_0186810,16,jEKhiAnmofLBpgdc
16nh_0193199,16,hLgaIkOcJDnMBePF
16nh_0198328,16,mNKGAiBpelCohDFj
16nh_0198595,16,mhpJIOKEaNCFbDGl
16nh_0198774,16,ieJfanmLpKBHodcg
16nh_0199373,16,nhmOPjcbaefDgiLK
16nh_0200251,16,lEGjkMCBdphoNFAi
16nh_0201359,16,nilPjkbOmdfegaHC
16nh_0204508,16,kGFIpCJMDBoNHLAe
16nh_0204527,16,hMGJNlDaKOCPeBFI
16nh_0214885,16,jhLpKBMFanEDGoic
16nh_0228180,16,cmnEHPILDobaGkjF
16nh_0243173,16,eKFmnGCALOHBIpJd
16nh_0259334,16,mogKJIlbaENCpFDh
16nh_0262900,16,fekjnmIOLdcGPabH
16nh_0267889,16,nekmPjclObfhgaDI
16nh_0270487,16,nhOalmkbdPfgeiCJ
16nh_0271579,16,fIGmnpHCKoBAedjl
16nh_0272223,16,nKJgBhmcPEDOafLI
16nh_0286090,16,idLnaopKeMGCJbhf
16nh_0289517,16,iLgKomAcnFDBJphe
16nh_0314691,16,hLMOaIBdJEnFGkPC
16nh_0321161,16,ipEKGmBDaNCOJfLh
16nh_0323196,16,njlFmOPikgbheaDC
16nh_0324730,16,coaELnjkfpmDghbi
16nh_0329167,16,nGmiPHBJdFOaclKE
16nh_0333284,16,ldIpoGJMCEFaNHkb
16nh_0336818,16,lofagJbkMNEpHIcd
16nh_0341157,16,mFGONPIClBEhaKDJ
16nh_0343541,16,njOiamPLBdefHkCG
16nh_0355982,16,boGFIJNKEDMpHCal
16nh_0360089,16,jiElOBMpahNGdKFC
16nh_0360349,16,nmPLJIOEFHabDkGC
16nh_0362125,16,dNGoFLBKMpHEJCAi
16nh_0362708,16,fJenopIKMAGdcHlb
16nh_0366548,16,nkpLMGIOEFDbJaHc
16nh_0369176,16,dEnpGKBALoFIHcjm
16nh_0371938,16,kFNijAdpcgeMOBLh
16nh_0371939,16,kGAfipjBNdcMOHLe
16nh_0374650,16,mhNIOBlaFDpjgECk
16nh_0376522,16,jhpKNMEboaDCFLig
16nh_0376523,16,kjaNLCMpobiEGDFh
16nh_0377003,16,fopKmaJLNGCIeHDb
16nh_0377004,16,lopFJHCMDnEaGKib
16nh_0378165,16,impoJLKnaEDFhbgc
16nh_0384019,16,lhogiMjkafdbNEpc
16nh_0392100,16,nkpfIOcLMEHbJaDg
16nh_0394670,16,hfnmaKodJLEIpcgb
16nh_0394671,16,eoHMpILCKDBGFJan
16nh_0394980,16,njgOPkblDmefcaIH
16nh_0400187,16,nIJelmBPGFOcdaKH
16nh_0402341,16,joflabIMNpGHdKce
16nh_0429713,16,nfkjgaiOemcPdbHL
16nh_0451377,16,jphLGiNceaMDOFKb
16nh_0451568,16,mpFNjkCeolghaDBi
16nh_0463154,16,mekphnJalcFodGbi
16nh_0464734,16,kHLaopMJBNdCFIGe
16nh_0483433,16,nheOkjPlbmcaigDF
16nh_0487947,16,lohiabcKfMGpNJde
16nh_0489398,16,eMLiaCHOKdNFPJGB
16nh_0490796,16,kOLehBAdJMpNCIFG
16nh_0491392,16,mIlHNapJBDOcfEGK
16nh_0493001,16,loJIpCBMEFGaNHkd
16nh_0501711,16,ngpHMKDbLOEIFaJc
16nh_0509414,16,nmPHOGJDLFabIkEC
16nh_0512604,16,gpKHJnaDBELCIofm
16nh_0512603,16,cljEMHNFpbioaDGk
16nh_0518038,16,nlgmbhcjOfePdaIK
16nh_0524510,16,eIHlaCKOPMGNdJFB
16nh_0545833,16,nmPGFJOCLEabIkDH
16nh_0547690,16,globfmaIKNHpedJc
16nh_0547691,16,gfamJnbIKDHoecpl
16nh_0549216,16,cgpKLJIbNFOMDHEa
16nh_0549215,16,fcmokpHJNGedabIl
16nh_0555996,16,edHmaGIBFkpncolj
16nh_0555995,16,foaJNpHMKCLIGEDb
16nh_0555997,16,ioaFCLDNpKMEJHGb
16nh_0557711,16,nmPGJabLOKEHDfIC
16nh_0559888,16,mpOLICBEKNDHaJGF
16nh_0585530,16,goflIcpJEHNdbaKm
16nh_0586935,16,nepKbLOIMFDJHaGc
16nh_0587116,16,imoLJHCDaENGFpKb
16nh_0605956,16,nflJmhkbeOPgiaDC
16nh_0608953,16,nefOPjlkDmbgcaIH
16nh_0639520,16,mkfNlajCDgbopHIe
16nh_0658359,16,fnGBMkCILDopHJae
16nh_0673789,16,mlFNPBOCaEDhiKGJ
16nh_0699580,16,fdLIanKJoCMBGpeh
16nh_0721312,16,cojMIHLNEapGKDFb
16nh_0721311,16,cohELIMapFNGDKJb
16nh_0721314,16,jipMHNKEDoLFCGab
16nh_0721313,16,hgpLCIKoENMDFJab
16nh_0764515,16,mgFLICoaNDHEpJKb
16nh_0805225,16,gmfIlopJKCHneadb
16nh_0805226,16,cgpKIOMaDNHEFJLb
16nh_0847930,16,geHfaopMJLNICBKd
16nh_0847931,16,ckmFIGDONEHbpaJl
16nh_0847933,16,geNfaopIKMHCBJLd
16nh_0847932,16,ckmIFHJEONGbpaDl
16nh_0847934,16,cmhJGIKapFDEobln
16nh_0847936,16,mkNFCIDBElaopHGj
16nh_0847935,16,jiepbdMKLoGNFHac
16nh_0847937,16,cegNMbpaDLIOJHKf
16nh_0900507,16,conKIJbaDLMHEpgf
16nh_0900508,16,conKLJbaDMHIEpgf
16nh_0907403,16,cjkFMHLNDGopIEab
16nh_0907404,16,coiFGHKLpnaDEbjm
16nh_0915837,16,jhKMBLiaopDNFCEg
16nh_0915838,16,chjMGOLNbpaDFKEi
16nh_0915839,16,cikFNLMpbohaDGEj
16nh_0915840,16,igJMKnaofLDBCphe
16nh_0967832,16,hopaIJbcKNMDFELg
16nh_0967833,16,cfgJIKopMLHNDEab
16nh_0977946,16,jdlmnKIEFpGHoabc
16nh_0977947,16,jdlmnHIEKpFGoabc
16nh_0987981,16,djliFHKEpmnGoabc
16nh_0987982,16,eoHFpIJKLDMBCGan
17nh_0000317,17,mPjOiNAlqdbhgFECk
17nh_0001092,17,dpkaNieqMfOcJGLbh
17nh_0001337,17,nmHEQgjCLfOIabPKD
17nh_0002228,17,nMPjOiAlqechBgFDk
17nh_0003993,17,jfeNObaKDcLGQPIHM
17nh_0005089,17,oLEPJhQkBmCfniaDG
17nh_0005629,17,hNeGmjCqKOfAdPIBL
17nh_0007346,17,lEjPGKBoMcFaNIqDh
17nh_0008526,17,lIOfPkjaMgdcNHQEB
17nh_0010356,17,nEqPIAoCMlGfDbKjH
17nh_0012966,17,ihMqkopcaLNdBJefg
17nh_0013438,17,nGHpqKAJmBOEciFLd
17nh_0014957,17,enomaGJKqFIpcdblh
17nh_0015699,17,eHlobGKANMFqcPdIJ
17nh_0016674,17,flonmqHKPbaGjdcIe
17nh_0018215,17,hKEgPNqdJMAoIFlBC
17nh_0018719,17,nfpIbKaLMCEGOqHJd
17nh_0020468,17,iHFJKCnBmLPOAgqDE
17nh_0021480,17,hgKJOabfDmQnipElC
17nh_0022460,17,nefMgklPdCObIqJAH
17nh_0022688,17,lOqGjHPDMecbNIAFk
17nh_0022891,17,mfIjPbLoEQdGaKhnC
17nh_0025899,17,kGFjPCBLqdnMHAiEO
17nh_0027515,17,eKMqoNjfCBgPIHAdL
17nh_0028955,17,iLPgNBqcfKMAJOEDh
17nh_0029400,17,cjmEKQPFONaDIbLHG
17nh_0029479,17,jEqMAolnPbDgkCfIH
17nh_0029923,17,nmGjqlkOBecfiaPHd
17nh_0035566,17,kjiqgLopcbaMFhden
17nh_0036049,17,okinmlbJcPQfedaHG
17nh_0037231,17,iNHGpqKLoMDCJABfe
17nh_0039784,17,fjOKBaIPmEnChqDGl
17nh_0045175,17,iDlQhNMpaKOcFGJeB
17nh_0045241,17,khLnqPOacdeMBiFGj
17nh_0045965,17,lkgfnqcJPObaHIdMe
17nh_0049130,17,gnofJqcIMEpbaHlkd
17nh_0049224,17,iLghqobcdKNAPJeMf
17nh_0050635,17,mlfgKPcqaEoIhDjnb
17nh_0054267,17,eJPMiHoKqLGADCfBN
17nh_0059574,17,fkonMaHLDPbEGIqJc
17nh_0062061,17,nIHFQGCEBMLOJaPKD
17nh_0064070,17,nGqJKLAPcODEhbIFm
17nh_0064692,17,dIHoFNjBCmQPgEaLK
17nh_0066835,17,enopkHMLqbdaGFjci
17nh_0066881,17,mIkfPhcLdNbGqOJAE
17nh_0067793,17,mpfNkjbIQGecaODlH
17nh_0072241,17,chnEIJLoaDqpFkbgm
17nh_0073478,17,hDMPkjNqOfeiGBLAC
17nh_0073486,17,nKgPahcjQfMoBeDlI
17nh_0073875,17,jFhgMAPcNqEokIDlB
17nh_0074530,17,nGOalHmBEKQIfdPCJ
17nh_0074879,17,ojFLqdINKbGCPHaMe
17nh_0075243,17,lHQOKJPBFnEaDimCG
17nh_0084026,17,jgDQmKaONbLFpIHeC
17nh_0095038,17,dminFJqKObEPcaLHg
17nh_0095902,17,nJDQBHlEmfOaigPKC
17nh_0097190,17,kjihOqmecabNPfDLg
17nh_0097872,17,mkaJPlCINGFbeOHQD
17nh_0098118,17,egqkbNMaFOdPIHLJc
17nh_0100415,17,gJofLpnIKAHMEqcbd
17nh_0100414,17,dGokFHAEJMqcpIlbn
17nh_0102130,17,coaMhQidkNgPEJbFL
17nh_0104615,17,ioqKpLJNaGCEFHMbd
17nh_0106351,17,dpKmGiLNeoBFqaHjc
17nh_0108709,17,ongjhLqdmecPibaFK
17nh_0109589,17,cIoELhkfANgDqJpbm
17nh_0109590,17,hOMekIqnJFldPgBAC
17nh_0110233,17,kqHJGDpEnCaMOiLbf
