m004,1,1
m015,1,1
m016,5,"(4, 5)"
m032,0,0
m053,1,1
m071,11,"(8, 11)"
m074,1,1
m082,8,"(6, 8)"
m094,1,1
m103,15,"(11, 15)"
m118,10,"(8, 10)"
m144,11,"(8, 11)"
m194,13,"(9, 13)"
m198,13,"(9, 13)"
m199,1,1
m201,1,1
m211,9,"(7, 9)"
m222,0,0
m223,6,"(5, 6)"
m224,1,1
m239,11,"(8, 11)"
m240,12,"(8, 12)"
m270,16,"(11, 16)"
m276,18,"(12, 18)"
m281,16,"(12, 16)"
m289,1,1
m340,2,2
m372,0,0
m389,4,"(3, 4)"
s016,1,1
s023,1,1
s042,21,"(13, 21)"
s068,25,"(16, 25)"
s086,14,"(10, 14)"
s104,26,"(16, 26)"
s114,31,"(20, 31)"
s188,1,1
s194,1,"(0, 1)"
s239,1,1
s294,17,"(12, 17)"
s301,23,"(15, 23)"
s308,23,"(15, 23)"
s336,17,"(12, 17)"
s344,24,"(16, 24)"
s346,28,"(18, 28)"
s367,22,"(16, 22)"
s369,27,"(17, 27)"
s384,7,"(6, 7)"
s385,1,1
s407,29,"(19, 29)"
s451,2,2
s526,2,2
s558,3,3
s560,15,"(11, 15)"
s580,2,"(1, 2)"
s582,18,"(12, 18)"
s648,1,1
s652,9,"(7, 9)"
s665,28,"(18, 28)"
s682,9,"(7, 9)"
s684,20,"(13, 20)"
s704,0,0
s726,1,1
s769,29,"(19, 29)"
s800,26,"(16, 26)"
s836,"(1, 2)","(0, 2)"
s841,7,"(5, 7)"
s849,13,"(9, 13)"
s862,1,1
s870,2,2
s879,0,0
s912,1,1
v0016,1,1
v0025,1,1
v0082,31,"(20, 31)"
v0114,35,"(23, 35)"
v0165,17,"(12, 17)"
v0220,47,"(28, 47)"
v0223,52,"(32, 52)"
v0249,16,"(10, 16)"
v0319,24,"(16, 24)"
v0321,1,"(0, 1)"
v0329,1,1
v0330,23,"(15, 23)"
v0398,34,"(22, 34)"
v0407,36,"(22, 36)"
v0424,33,"(20, 33)"
v0434,41,"(25, 41)"
v0497,44,"(27, 44)"
v0521,1,"(0, 1)"
v0535,"(1, 2)","(0, 2)"
v0545,14,"(9, 14)"
v0554,25,"(16, 25)"
v0570,33,"(21, 33)"
v0573,33,"(21, 33)"
v0595,1,1
v0600,"(1, 2)","(1, 2)"
v0656,2,2
v0707,23,"(16, 23)"
v0709,22,"(15, 22)"
v0715,46,"(28, 46)"
v0740,28,"(20, 28)"
v0741,54,"(32, 54)"
v0759,34,"(20, 34)"
