group,invariant
"['K15a10035', 'K15a7627']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 727), (0, 727)): 1, (4, 12, (0, 2, 2, 5, 7), (0, 2, 2, 5, 5, 5, 7, 7, 7, 8, 8, 73, 73)): 1, (4, 4, (0, 11, 11, 727), (0, 11, 11, 727)): 1, (3, 3, (0, 2, 2, 73, 73), (0, 2, 2, 73, 73)): 1, (6, 24, (0, 4, 8, 23, 73, 73), (0, 4, 4, 4, 5, 5, 5, 7, 7, 7, 8, 23, 23, 23, 32, 32, 73, 73, 727)): 1, (6, 12, (0, 4, 4, 5, 7, 73, 73), (0, 2, 2, 5, 5, 5, 7, 7, 7, 8, 8, 73, 73)): 1, (6, 6, (0, 2, 2, 2, 2, 73, 73, 727), (0, 2, 2, 2, 2, 73, 73, 727)): 1, (5, 5, (0, 499, 499), (0, 499, 499)): 1}"
"['K15a57593', 'K15a57529']","{(1, 1, (0,), (0,)): 1, (6, 60, (0, 4, 4, 349), (0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 4, 4, 8, 8, 8, 8, 349, 349, 349, 349, 349)): 1, (5, 60, (0, 0, 0), (0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 4, 4, 8, 8, 8, 8, 349, 349, 349, 349, 349)): 1, (2, 2, (0, 877), (0, 877)): 1, (3, 3, (0, 151, 151), (0, 151, 151)): 1, (4, 4, (0, 11, 11, 877), (0, 11, 11, 877)): 1, (5, 5, (0, 2, 2, 2, 2, 11, 11, 19, 19), (0, 2, 2, 2, 2, 11, 11, 19, 19)): 1, (6, 6, (0, 151, 151, 877), (0, 151, 151, 877)): 1}"
"['K15n21059', 'K15n21210']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 9, 61), (0, 9, 61)): 1, (3, 6, (0, 0, 2, 19), (0, 0, 0, 2, 2, 3, 19, 19, 61)): 1, (4, 12, (0, 0, 2, 11, 25), (0, 0, 0, 0, 2, 8, 8, 11, 11, 11, 25, 25, 25, 25, 25)): 1, (6, 360, (0, 2, 2, 3, 8), (0, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 16, 16, 16, 16, 27, 27, 27, 27, 32, 32, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 64, 64, 64, 64, 2048, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096)): 1, (6, 24, (0, 0, 0, 2, 2, 5, 7, 19), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 16, 16, 19, 19, 61, 61, 61, 61)): 1, (6, 60, (0, 0, 2, 2, 4, 27, 101), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 8, 16, 16, 16, 16, 27, 81, 81, 81, 81, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101)): 1, (6, 6, (0, 0, 0, 2, 2, 3, 19, 19, 61), (0, 0, 0, 2, 2, 3, 19, 19, 61)): 1, (6, 24, (0, 0, 2, 2, 4, 7, 7, 19, 61), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 16, 16, 19, 19, 61, 61, 61, 61)): 1, (6, 24, (0, 0, 2, 4, 5, 19), (0, 0, 0, 2, 3, 5, 5, 5, 16, 16, 16, 19, 19, 19, 19, 19, 61, 71, 71, 71)): 1, (6, 24, (0, 0, 2, 2, 19, 19, 71), (0, 0, 0, 2, 3, 5, 5, 5, 16, 16, 16, 19, 19, 19, 19, 19, 61, 71, 71, 71)): 1, (4, 24, (0, 2, 2, 7, 7, 61), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 16, 16, 19, 19, 61, 61, 61, 61)): 1, (6, 360, (0, 3, 3, 8), (0, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 16, 16, 16, 16, 27, 27, 27, 27, 32, 32, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 64, 64, 64, 64, 2048, 4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096)): 1, (6, 18, (0, 3, 3, 9, 25, 25, 61), (0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 9, 19, 19, 25, 25, 25, 25, 25, 25, 61)): 1, (5, 60, (0, 3, 3, 101, 101), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 8, 16, 16, 16, 16, 27, 81, 81, 81, 81, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101)): 1, (4, 4, (0, 7, 7, 9, 61), (0, 7, 7, 9, 61)): 1, (3, 3, (0, 4, 4, 25, 25), (0, 4, 4, 25, 25)): 1, (6, 12, (0, 0, 2, 2, 4, 11, 25, 25, 25), (0, 0, 0, 0, 2, 8, 8, 11, 11, 11, 25, 25, 25, 25, 25)): 1, (6, 24, (0, 2, 2, 4, 4, 25, 25, 61), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 11, 11, 11, 16, 16, 25, 25, 25, 25, 25, 61, 61, 61, 61)): 1, (6, 24, (0, 0, 2, 2, 5, 19), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 16, 16, 16, 19, 19, 61, 1369, 1369, 1369)): 1, (6, 24, (0, 0, 2, 3, 4, 19, 1369), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 16, 16, 16, 19, 19, 61, 1369, 1369, 1369)): 1, (6, 6, (0, 0, 0, 2, 2, 3, 25, 25, 61), (0, 0, 0, 2, 2, 3, 25, 25, 61)): 1, (5, 5, (0, 101, 101), (0, 101, 101)): 1, (4, 24, (0, 5, 8), (0, 0, 0, 2, 3, 5, 5, 5, 16, 16, 16, 19, 19, 19, 19, 19, 61, 71, 71, 71)): 1, (4, 24, (0, 3, 8, 1369), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 16, 16, 16, 19, 19, 61, 1369, 1369, 1369)): 1}"
"['K15n21064', 'K15n21215']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 9, 61), (0, 9, 61)): 1, (3, 3, (0, 4, 4, 25, 25), (0, 4, 4, 25, 25)): 1, (4, 4, (0, 7, 7, 9, 61), (0, 7, 7, 9, 61)): 1, (5, 5, (0, 101, 101), (0, 101, 101)): 1, (6, 6, (0, 0, 0, 2, 2, 3, 25, 25, 61), (0, 0, 0, 2, 2, 3, 25, 25, 61)): 1, (4, 24, (0, 3, 8, 1369), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 16, 16, 16, 19, 19, 61, 1369, 1369, 1369)): 1, (4, 24, (0, 2, 2, 7, 7, 61), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 16, 16, 19, 19, 61, 61, 61, 61)): 1, (6, 12, (0, 0, 2, 2, 4, 11, 25, 25, 25), (0, 0, 0, 0, 2, 8, 8, 11, 11, 11, 25, 25, 25, 25, 25)): 1, (6, 24, (0, 2, 2, 4, 4, 25, 25, 61), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 11, 11, 11, 16, 16, 25, 25, 25, 25, 25, 61, 61, 61, 61)): 1, (4, 24, (0, 5, 8), (0, 0, 0, 2, 3, 5, 5, 5, 16, 16, 16, 19, 19, 19, 19, 19, 61, 71, 71, 71)): 1, (6, 60, (0, 0, 2, 2, 4, 27, 101), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 8, 16, 16, 16, 16, 27, 81, 81, 81, 81, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101)): 1, (4, 12, (0, 0, 2, 11, 25), (0, 0, 0, 0, 2, 8, 8, 11, 11, 11, 25, 25, 25, 25, 25)): 1, (3, 6, (0, 0, 2, 19), (0, 0, 0, 2, 2, 3, 19, 19, 61)): 1, (6, 24, (0, 0, 2, 2, 19, 19, 71), (0, 0, 0, 2, 3, 5, 5, 5, 16, 16, 16, 19, 19, 19, 19, 19, 61, 71, 71, 71)): 1, (6, 24, (0, 0, 0, 2, 2, 5, 7, 19), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 16, 16, 19, 19, 61, 61, 61, 61)): 1, (6, 24, (0, 0, 2, 3, 4, 19, 1369), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 16, 16, 16, 19, 19, 61, 1369, 1369, 1369)): 1, (6, 24, (0, 0, 2, 2, 5, 19), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 16, 16, 16, 19, 19, 61, 1369, 1369, 1369)): 1, (6, 24, (0, 0, 2, 2, 4, 7, 7, 19, 61), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 16, 16, 19, 19, 61, 61, 61, 61)): 1, (5, 60, (0, 3, 3, 101, 101), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 8, 16, 16, 16, 16, 27, 81, 81, 81, 81, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101)): 1, (6, 360, (0, 3, 32), (0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 16, 16, 16, 16, 16, 16, 16, 16, 27, 27, 27, 27, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 64, 64, 64, 64, 128, 512, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024)): 1, (6, 24, (0, 0, 2, 4, 5, 19), (0, 0, 0, 2, 3, 5, 5, 5, 16, 16, 16, 19, 19, 19, 19, 19, 61, 71, 71, 71)): 1, (6, 6, (0, 0, 0, 2, 2, 3, 19, 19, 61), (0, 0, 0, 2, 2, 3, 19, 19, 61)): 1, (6, 18, (0, 3, 3, 9, 25, 25, 61), (0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 9, 19, 19, 25, 25, 25, 25, 25, 25, 61)): 1, (6, 360, (0, 2, 2, 2, 3, 3), (0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 16, 16, 16, 16, 16, 16, 16, 16, 27, 27, 27, 27, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 64, 64, 64, 64, 128, 512, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024)): 1}"
"['K15n122927', 'K15n122919']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 3, 5), (0, 2, 2, 2, 2, 3, 4, 4, 5, 5, 5, 5, 8, 8, 8, 8, 9, 9, 9, 9, 25, 25, 25, 73, 73, 73, 73, 73, 131, 131, 131)): 1, (3, 3, (0, 5, 5, 17, 17), (0, 5, 5, 17, 17)): 1, (2, 2, (0, 317), (0, 317)): 1, (4, 4, (0, 11, 11, 317), (0, 11, 11, 317)): 1, (6, 60, (0, 2, 3, 8, 73), (0, 2, 2, 2, 2, 3, 4, 4, 5, 5, 5, 5, 8, 8, 8, 8, 9, 9, 9, 9, 25, 25, 25, 73, 73, 73, 73, 73, 131, 131, 131)): 1, (6, 6, (0, 5, 5, 17, 17, 317), (0, 5, 5, 17, 17, 317)): 1, (5, 5, (0, 2, 2, 2, 2, 19, 19), (0, 2, 2, 2, 2, 19, 19)): 1}"
"['K15n21809', 'K15n29442']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 4), (0, 2, 4, 13, 13, 16, 16)): 1, (2, 2, (0, 367), (0, 367)): 1, (3, 3, (0, 2, 2, 13, 13), (0, 2, 2, 13, 13)): 1, (6, 24, (0, 4, 9, 13, 13, 16), (0, 2, 2, 2, 8, 8, 9, 9, 9, 13, 13, 16, 64, 64, 367)): 1, (4, 4, (0, 13, 13, 367), (0, 13, 13, 367)): 1, (5, 5, (0, 4, 4, 4, 4, 59, 59), (0, 4, 4, 4, 4, 59, 59)): 1, (6, 6, (0, 2, 2, 2, 2, 13, 13, 367), (0, 2, 2, 2, 2, 13, 13, 367)): 1, (6, 12, (0, 4, 8, 13, 13), (0, 2, 4, 13, 13, 16, 16)): 1, (6, 60, (0, 4, 16, 61), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 25, 25, 25, 32, 61, 61, 61, 61, 61, 64, 64, 64, 64)): 1, (5, 60, (0, 0, 4), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 25, 25, 25, 32, 61, 61, 61, 61, 61, 64, 64, 64, 64)): 1}"
"['K15n37007', 'K15n36971']","{(1, 1, (0,), (0,)): 1, (3, 6, (0, 5), (0, 3, 3, 5, 5, 5)): 1, (2, 2, (0, 5, 9), (0, 5, 9)): 1, (6, 6, (0, 3, 3, 5, 5, 5), (0, 3, 3, 5, 5, 5)): 1, (5, 10, (0, 139), (0, 5, 9, 139, 139)): 1, (3, 3, (0, 23, 23), (0, 23, 23)): 1, (4, 4, (0, 5, 9, 17, 17), (0, 5, 9, 17, 17)): 1, (6, 18, (0, 3, 3, 5, 5, 5, 19, 19), (0, 5, 5, 5, 5, 5, 5, 5, 9, 9, 19, 19, 19, 19, 23, 23)): 1, (5, 5, (0, 29, 29), (0, 29, 29)): 1, (6, 6, (0, 3, 5, 23, 23, 27), (0, 3, 5, 23, 23, 27)): 1}"
"['K15n10549', 'K15n6356']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 229), (0, 229)): 1, (3, 3, (0, 7, 7, 13, 13), (0, 7, 7, 13, 13)): 1, (4, 4, (0, 23, 23, 229), (0, 23, 23, 229)): 1, (5, 5, (0, 2, 2, 2, 2, 229, 229), (0, 2, 2, 2, 2, 229, 229)): 1, (6, 6, (0, 7, 7, 13, 13, 229), (0, 7, 7, 13, 13, 229)): 1}"
"['K15a4579', 'K15a4121']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 683), (0, 683)): 1, (6, 36, (0, 7, 311, 683), (0, 2, 2, 2, 2, 3, 3, 5, 5, 5, 5, 7, 7, 7, 7, 32, 32, 32, 32, 311, 311, 311, 311, 683)): 1, (3, 3, (0, 89, 89), (0, 89, 89)): 1, (4, 4, (0, 3, 3, 683), (0, 3, 3, 683)): 1, (5, 5, (0, 929, 929), (0, 929, 929)): 1, (6, 6, (0, 89, 89, 683), (0, 89, 89, 683)): 1, (6, 36, (0, 2, 5, 32, 683), (0, 2, 2, 2, 2, 3, 3, 5, 5, 5, 5, 7, 7, 7, 7, 32, 32, 32, 32, 311, 311, 311, 311, 683)): 1}"
"['K15n7602', 'K15n9897', 'K15n7498']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 593), (0, 593)): 1, (3, 3, (0, 151, 151), (0, 151, 151)): 1, (4, 4, (0, 17, 17, 593), (0, 17, 17, 593)): 1, (5, 5, (0, 151, 151), (0, 151, 151)): 1, (6, 6, (0, 151, 151, 593), (0, 151, 151, 593)): 1}"
