K12n309,3.702897321857?,K14n14254,3.702897321857?
K11n49,4.41533247746?,K15n103488,4.41533247746?
K13n1021,4.455978629569?,K15n101402,4.455978629569?
K8n2,5.333489566898?,K9n1,5.333489566898?
K13n2527,5.42095620602?,K15n9379,5.42095620602?
K10n25,5.702402925578?,K12n248,5.70240292558?
K7a1,6.332666642499?,K8a10,6.33266664250?
K9n2,6.96575966545?,K10n18,6.96575966545?
K13n3602,7.10086028237?,K14n16887,7.10086028237?
K13n572,7.17884451285?,K15n89587,7.17884451284?
K10n19,7.66022925046?,K11n62,7.66022925046?
K13n835,7.76601233611?,K13n973,7.76601233611?
K13n835,7.76601233611?,K15n16924,7.76601233611?
K13n835,7.76601233611?,K15n18792,7.76601233611?
K13n973,7.76601233611?,K15n16924,7.76601233611?
K13n973,7.76601233611?,K15n18792,7.76601233611?
K15n16924,7.76601233611?,K15n18792,7.76601233611?
K11n97,7.90216370908?,K15n50674,7.9021637091?
K11n63,7.99770174595?,K12n250,7.99770174595?
K11n73,8.08797378863?,K11n74,8.08797378863?
K11n73,8.08797378863?,K14n16441,8.08797378863?
K11n74,8.08797378863?,K14n16441,8.08797378863?
K12n249,8.18395098608?,K13n1209,8.1839509861?
K13n1208,8.29702471747?,K14n6059,8.29702471746?
K14n6058,8.37067517639?,K15n30711,8.37067517639?
K13n611,8.48103927691?,K13n612,8.4810392769?
K15n11847,8.81937936796?,K15n11848,8.8193793680?
K14n15285,9.06085142498?,K15n77247,9.06085142498?
K11n34,9.28035513163?,K11n42,9.28035513164?
K8a2,9.34081310840?,K11n142,9.34081310840?
K14n1257,9.48285776930?,K14n1468,9.48285776930?
K13n233,9.60012762253?,K13n293,9.60012762253?
K15n57436,9.7208147485?,K15n57606,9.7208147485?
K15n133697,9.75079546418?,K15n135711,9.7507954642?
K15n7529,9.77458943756?,K15n9645,9.77458943756?
K10n28,9.95197859325?,K10n37,9.95197859325?
K15n20060,10.1408365567?,K15n20140,10.14083655669?
K15n24807,10.1635716337?,K15n26933,10.1635716337?
K15n5432,10.2189124260?,K15n5978,10.2189124260?
K15n63250,10.3944195191?,K15n63254,10.3944195191?
K13n1281,10.4157120010?,K13n1307,10.4157120010?
K13n307,10.4996217691?,K13n501,10.49962176902?
K10a51,10.81457046202?,K13n3562,10.81457046202?
K14n1722,10.8318015849?,K14n2186,10.83180158484?
K15n22194,10.95666992249?,K15n23295,10.9566699225?
K12n210,10.96384898432?,K12n214,10.9638489844?
K14n3214,10.98080004075?,K14n4136,10.98080004075?
K12n583,10.98230332655?,K12n701,10.9823033266?
K14n682,10.9828207221?,K14n838,10.9828207221?
K12n56,11.06710827688?,K12n57,11.0671082769?
K12n56,11.06710827688?,K12n221,11.0671082769?
K12n57,11.0671082769?,K12n221,11.0671082769?
K15n22097,11.11950169690?,K15n22523,11.11950169690?
K11n39,11.1374905406?,K11n45,11.13749054059?
K12a679,11.24663560375?,K15n113249,11.24663560375?
K14n429,11.27503937899?,K14n430,11.27503937899?
K15n24671,11.29256102799?,K15n27468,11.29256102799?
K14n18213,11.31096557105?,K14n20859,11.31096557105?
K11n151,11.43409009244?,K11n152,11.4340900925?
K14n12518,11.5390002298?,K14n18892,11.53900022983?
K14n1249,11.55701330215?,K14n1462,11.5570133022?
K14n2567,11.5572539480?,K14n2724,11.5572539480?
K14n2585,11.65605376658?,K14n2667,11.65605376659?
K15n22076,11.65652332826?,K15n22077,11.65652332826?
K13n602,11.6724812361?,K13n603,11.67248123608?
K12n670,11.67445420038?,K12n681,11.67445420038?
K13n1199,11.69859874118?,K13n1206,11.69859874118?
K13n866,11.70091808526?,K13n1019,11.70091808526?
K15n41322,11.7192055307?,K15n45756,11.7192055307?
K15n11692,11.78415654268?,K15n11811,11.78415654268?
K11n76,11.8580266234?,K11n78,11.8580266234?
K15n12745,11.9188726011?,K15n13493,11.91887260111?
K15n31843,11.9408785328?,K15n32355,11.94087853276?
K13n234,11.94252074955?,K13n292,11.94252074955?
K13n1282,11.95909673766?,K13n1306,11.9590967377?
K13n1282,11.95909673766?,K13n1309,11.95909673766?
K13n1306,11.9590967377?,K13n1309,11.95909673766?
K14n2405,11.98233216353?,K14n2489,11.98233216354?
K15n55512,11.9882095008?,K15n55517,11.9882095008?
K15n12204,12.0044630704?,K15n13447,12.0044630704?
K15n148673,12.01905581597?,K15n151500,12.0190558160?
K15n30391,12.0209392153?,K15n30405,12.02093921528?
K15n24680,12.0211191376?,K15n27474,12.02111913760?
K14n5185,12.06415457221?,K14n5462,12.0641545722?
K15n22153,12.07596246588?,K15n22528,12.07596246588?
K14n4755,12.1019299811?,K14n4772,12.1019299811?
K13n3764,12.10843335734?,K13n3782,12.1084333574?
