K3a1,"SFS [S2: (2,1) (3,1) (6,-5)]"
K4a1,"T x I / [ 2,1 | 1,1 ]"
K5a1,"SFS [A: (2,1)] / [ 0,1 | 1,-1 ]"
K5a2,"SFS [S2: (2,1) (5,2) (10,-9)]"
K6a3,"SFS [A: (2,1)] / [ 0,1 | 1,-2 ]"
K7a4,"SFS [A: (3,2)] / [ 0,1 | 1,-1 ]"
K7a6,"JSJ([('SFSpace', 'SFS [A: (2,1)]'), ('SFSpace', 'SFS [A: (2,1)]')])"
K7a7,"SFS [S2: (2,1) (7,3) (14,-13)]"
K8n1,"SFS [D: (2,1) (2,1)] U/m SFS [D: (3,1) (3,2)], m = [ 0,1 | 1,0 ]"
K8n3,"SFS [S2: (3,2) (4,1) (12,-11)]"
K8a11,"SFS [A: (3,1)] / [ 0,1 | 1,-2 ]"
K8a18,"JSJ[('SFSpace', 'SFS [A: (2,1)]'), ('SFSpace', 'SFS [A: (2,1)]')]"
K9n5,"SFS [A: (2,1)] / [ -1,3 | 1,-2 ]"
K9a27,"SFS [A: (4,3)] / [ 0,1 | 1,-1 ]"
K9a36,"JSJ[('SFSpace', 'SFS [A: (2,3)]'), ('SFSpace', 'SFS [A: (3,1)]')]"
K9a40,"JSJ[('hyperbolic', 'm202')]"
K9a41,"SFS [S2: (2,1) (9,4) (18,-17)]"
K10n13,"SFS [S2: (2,1) (5,1) (10,-7)]"
K10n21,"SFS [S2: (3,1) (5,3) (15,-14)]"
K10n29,"SFS [D: (2,1) (2,1)] U/m SFS [D: (3,1) (3,2)], m = [ -1,2 | 0,1 ]"
K10a75,"SFS [A: (4,1)] / [ 0,1 | 1,-2 ]"
K10a117,"JSJ[('SFSpace', 'SFS [A: (2,1)]'), ('SFSpace', 'SFS [A: (3,5)]')]"
K11n139,"SFS [A: (2,1)] / [ 2,5 | 1,2 ]"
K11n141,"JSJ[('hyperbolic', 'm125')]"
K11a247,"SFS [A: (5,4)] / [ 0,1 | 1,-1 ]"
K11a343,"JSJ([('SFSpace', 'SFS [A: (2,1)]'), ('SFSpace', 'SFS [A: (4,7)]')])"
K11a362,"JSJ[('hyperbolic', 'm357')]"
K11a363,"JSJ[('SFSpace', 'SFS [A: (3,1)]'), ('SFSpace', 'SFS [A: (3,2)]')]"
K11a367,"SFS [S2: (2,1) (11,5) (22,-21)]"
K12n121,"SFS [D: (2,1) (2,1)] U/m SFS [D: (2,1) (3,1)], m = [ 5,1 | 4,1 ]"
K12n582,"SFS [D: (2,1) (2,1)] U/m SFS [D: (3,1) (3,2)], m = [ -2,3 | -1,2 ]"
K12n721,"JSJ[('SFSpace', 'SFS [D: (2,1) (2,-1)]'), ('hyperbolic', 'm043')]"
K12a803,"SFS [A: (5,1)] / [ 0,1 | 1,-2 ]"
K12a1166,"JSJ([('SFSpace', 'SFS [A: (2,1)]'), ('SFSpace', 'SFS [A: (4,1)]')])"
K12a1287,"JSJ[('SFSpace', 'SFS [A: (3,1)]'), ('SFSpace', 'SFS [A: (3,4)]')]"
K13n469,"JSJ[('SFSpace', 'SFS [D: (2,1) (2,-1)]'), ('hyperbolic', 'm004')]"
K13a3143,"SFS [A: (6,5)] / [ 0,1 | 1,-1 ]"
K13n3521,"JSJ[('hyperbolic', 'm329')]"
K13n3523,"SFS [A: (2,1)] / [ 2,7 | 1,3 ]"
K13n3594,"JSJ[('hyperbolic', 'm292')]"
K13n3596,"JSJ[('SFSpace', 'SFS [D: (2,1) (3,-2)]'), ('SFSpace', 'SFS [Or, g=0 + 3 punctures: (1,3)]')]"
K13n3663,"JSJ[('SFSpace', 'SFS [D: (2,1) (3,-2)]'), ('SFSpace', 'SFS [Or, g=0 + 3 punctures: (1,1)]')]"
K13a4573,"JSJ[('SFSpace', 'SFS [A: (2,1)]'), ('SFSpace', 'SFS [A: (5,4)]')]"
K13n4587,"SFS [D: (2,1) (3,1)] U/m SFS [D: (2,1) (14,1)], m = [ -3,5 | -1,2 ]"
K13n4639,"SFS [D: (2,1) (3,1)] U/m SFS [D: (2,1) (10,1)], m = [ -5,7 | -2,3 ]"
K13a4843,"JSJ[('hyperbolic', 's548')]"
K13a4856,"JSJ[('SFSpace', 'SFS [A: (3,1)]'), ('SFSpace', 'SFS [A: (4,3)]')]"
K13a4873,"JSJ[('hyperbolic', 's876')]"
K13a4878,"SFS [S2: (2,1) (13,6) (26,-25)]"
K14n3611,"JSJ[('SFSpace', 'M/n2 x~ S1'), ('hyperbolic', 'm015')]"
K14a12741,"SFS [A: (6,1)] / [ 0,1 | 1,-2 ]"
K14a17730,"JSJ[('SFSpace', 'SFS [A: (2,1)]'), ('SFSpace', 'SFS [A: (5,9)]')]"
K14n18212,"SFS [D: (2,1) (2,1)] U/m SFS [D: (3,1) (3,2)], m = [ -3,4 | -2,3 ]"
K14n19265,"JSJ[('hyperbolic', 'v3319')]"
K14a19429,"JSJ[('SFSpace', 'SFS [A: (3,4)]'), ('SFSpace', 'SFS [A: (4,1)]')]"
K14n21881,"SFS [S2: (3,2) (7,2) (21,-20)]"
K14n21882,"SFS [D: (2,1) (2,1)] U/m SFS [D: (3,1) (6,1)], m = [ 1,1 | 0,1 ]"
K14n22073,"SFS [D: (2,1) (3,1)] U/m SFS [A: (2,1) (2,1)] U/n SFS [D: (2,1) (3,2)], m = [ 1,-1 | 0,-1 ], n = [ 0,1 | 1,1 ]"
K14n22180,"JSJ[('SFSpace', 'SFS [D: (2,1) (3,-2)]'), ('SFSpace', 'SFS [Or, g=0 + 3 punctures: (1,1)]')]"
K14n22185,"JSJ[('SFSpace', 'SFS [D: (2,1) (2,-1)]'), ('hyperbolic', 'm137')]"
K14n22589,"JSJ[('hyperbolic', 'm129')]"
K14n24553,"JSJ[('SFSpace', 'SFS [D: (2,1) (2,-1)]'), ('hyperbolic', 's663')]"
