rep,covers,group
K15a1904,"[1, 1, 1, 3, 3]","['K15a1904', 'K15a2543']"
K15n1735,"[1, 1, 1, 3, 3]","['K15n1735', 'K15n1797']"
K15a6416,"[1, 1, 1, 3, 5]","['K15a6416', 'K15a7670']"
K15a55945,"[1, 1, 1, 3, 5]","['K15a55945', 'K15a55965']"
K15n19237,"[1, 1, 2, 4, 12, 6]","['K15n19237', 'K15n20717']"
K15a58528,"[1, 1, 1, 5, 5, 9]","['K15a58528', 'K15a58530']"
K15n53673,"[1, 1, 1, 4, 6, 8]","['K15n53673', 'K15n53830']"
K15n23941,"[1, 1, 1, 3, 8, 8]","['K15n23941', 'K15n24156']"
K15a59403,"[1, 1, 2, 4, 10, 10]","['K15a59403', 'K15a59429']"
K15n49936,"[1, 2, 4, 8, 32, 31]","['K15n49936', 'K15n50825']"
K15a57589,"[1, 1, 1, 4, 2, 10]","['K15a57589', 'K15a59378']"
K15n10668,"[1, 1, 1, 2, 8, 10]","['K15n10668', 'K15n10696']"
K15a10035,"[1, 1, 2, 1, 3, 14]","['K15a10035', 'K15a7627']"
K15n10263,"[1, 1, 1, 5, 15, 21]","['K15n10263', 'K15n8187']"
K15n118005,"[1, 2, 5, 6, 20, 16]","['K15n118005', 'K15n118552']"
K15a7229,"[1, 2, 5, 4, 14, 16]","['K15a7229', 'K15a7739']"
K15n10082,"[1, 1, 1, 2, 4, 12]","['K15n10082', 'K15n8105']"
K15n27392,"[1, 1, 1, 3, 19, 17]","['K15n27392', 'K15n8836']"
K14n6499,"[1, 2, 5, 2, 12, 6]","['K14n6499', 'K14n6505']"
K15a12318,"[1, 1, 2, 2, 10, 9]","['K15a12318', 'K15a48525']"
K14a1002,"[1, 1, 2, 3, 7, 12]","['K14a1002', 'K14a1146']"
K15n18666,"[1, 1, 1, 1, 5, 4]","['K15n18666', 'K15n20800']"
K14a853,"[1, 1, 1, 2, 4, 4]","['K14a853', 'K14a900']"
K15a16194,"[1, 2, 5, 3, 14, 3]","['K15a16194', 'K15a19447']"
K15a57699,"[1, 1, 1, 4, 4, 5]","['K15a57699', 'K15a58977']"
K15n10828,"[1, 1, 1, 4, 4, 6]","['K15n10828', 'K15n8910']"
K15n121832,"[1, 1, 1, 1, 3, 22]","['K15n121832', 'K15n121921']"
K15n1050,"[1, 2, 4, 3, 13, 2]","['K15n1050', 'K15n958']"
K14n1117,"[1, 2, 1, 2, 8, 4]","['K14n1117', 'K14n1189']"
K14n3352,"[1, 1, 2, 1, 5, 10]","['K14n3352', 'K14n4194']"
K15a55797,"[1, 2, 5, 2, 16, 9]","['K15a55797', 'K15a56269']"
K15n28087,"[1, 1, 2, 2, 4, 17]","['K15n28087', 'K15n4279']"
K15n34918,"[1, 1, 1, 1, 5, 8]","['K15n34918', 'K15n35040']"
K15a8671,"[1, 1, 1, 3, 3, 3]","['K15a8671', 'K15a9096']"
K15n11047,"[1, 1, 1, 2, 4, 11]","['K15n11047', 'K15n6856']"
K15n88956,"[1, 1, 1, 3, 8, 4]","['K15n88956', 'K15n96989']"
K15a19758,"[1, 1, 1, 4, 30, 7]","['K15a19758', 'K15a19780']"
K15a2042,"[1, 1, 2, 1, 5, 5]","['K15a2042', 'K15a2662']"
K15n15475,"[1, 1, 2, 3, 13, 8]","['K15n15475', 'K15n19471']"
K15n15747,"[1, 1, 1, 2, 6, 8]","['K15n15747', 'K15n15916']"
K14a11856,"[1, 1, 1, 2, 6, 6]","['K14a11856', 'K14a5892']"
K15n33503,"[1, 2, 5, 3, 16, 6]","['K15n33503', 'K15n33830']"
K15n17104,"[1, 1, 2, 1, 7, 3]","['K15n17104', 'K15n20312']"
K15a57529,"[1, 1, 1, 2, 2, 7]","['K15a57529', 'K15a57593']"
K15a61352,"[1, 1, 1, 3, 3, 14]","['K15a61352', 'K15a61358']"
K15a21055,"[1, 1, 2, 5, 9, 4]","['K15a21055', 'K15a21072']"
K15a2247,"[1, 1, 1, 4, 5, 7]","['K15a2247', 'K15a2590']"
K15n19703,"[1, 1, 1, 2, 4, 6]","['K15n19703', 'K15n20747']"
K15n79955,"[1, 2, 1, 5, 11, 13]","['K15n79955', 'K15n79956']"
K15n2549,"[1, 1, 1, 2, 4, 7]","['K15n2549', 'K15n2831']"
K15a56178,"[1, 1, 1, 2, 8, 4]","['K15a56178', 'K15a56390']"
K15a43310,"[1, 2, 4, 8, 18, 11]","['K15a43310', 'K15a51556']"
K15a10002,"[1, 1, 2, 9, 40, 51]","['K15a10002', 'K15a893']"
K15a1865,"[1, 2, 5, 4, 21, 13]","['K15a1865', 'K15a2679']"
K15n14914,"[1, 1, 1, 2, 4, 4]","['K15n14914', 'K15n17342']"
K15n18112,"[1, 2, 4, 1, 15, 12]","['K15n18112', 'K15n18815']"
K15a5619,"[1, 1, 1, 2, 6, 6]","['K15a5619', 'K15a8431']"
K15n17372,"[1, 1, 1, 7, 12, 13]","['K15n17372', 'K15n24581']"
K15n14600,"[1, 1, 1, 3, 5, 8]","['K15n14600', 'K15n20085']"
K15n10199,"[1, 1, 1, 2, 8, 6]","['K15n10199', 'K15n9785']"
K15n11006,"[1, 2, 5, 5, 13, 8]","['K15n11006', 'K15n6571']"
K14a9677,"[1, 2, 5, 5, 19, 18]","['K14a9677', 'K14a9679']"
K15a10182,"[1, 1, 1, 2, 5, 8]","['K15a10182', 'K15a8451']"
K15n9857,"[1, 1, 2, 3, 17, 6]","['K15n9857', 'K15n9940']"
K14n20757,"[1, 2, 5, 2, 12, 14]","['K14n20757', 'K14n20789']"
K14n18858,"[1, 1, 2, 6, 10, 9]","['K14n18858', 'K14n8644', 'K14n9148']"
K15n5190,"[1, 1, 1, 8, 15, 12]","['K15n5190', 'K15n6256']"
K15n40729,"[1, 1, 2, 1, 5, 10]","['K15n40729', 'K15n40931']"
K15a1205,"[1, 1, 2, 1, 3, 9]","['K15a1205', 'K15a1409']"
K15a1509,"[1, 1, 2, 2, 6, 6]","['K15a1509', 'K15a38465']"
K15n21059,"[1, 2, 5, 2, 14, 20]","['K15n21059', 'K15n21210']"
K15n21064,"[1, 2, 5, 2, 14, 22]","['K15n21064', 'K15n21215']"
K15a59309,"[1, 2, 5, 5, 15, 8]","['K15a59309', 'K15a59344']"
K15n1196,"[1, 1, 2, 2, 6, 14]","['K15n1196', 'K15n702']"
K13n807,"[1, 1, 2, 2, 4, 3]","['K13n807', 'K13n849']"
K15n115352,"[1, 1, 1, 3, 6, 3]","['K15n115352', 'K15n116094']"
K15n11060,"[1, 1, 2, 4, 15, 9]","['K15n11060', 'K15n6824']"
K15n10396,"[1, 2, 5, 2, 18, 5]","['K15n10396', 'K15n7167']"
K15n122919,"[1, 1, 1, 2, 2, 6]","['K15n122919', 'K15n122927']"
K15a10079,"[1, 1, 2, 2, 8, 20]","['K15a10079', 'K15a9959']"
K15n21385,"[1, 2, 4, 1, 11, 6]","['K15n21385', 'K15n21434']"
K15n28903,"[1, 1, 1, 2, 4, 6]","['K15n28903', 'K15n29141']"
K14n2021,"[1, 1, 2, 6, 6, 13]","['K14n2021', 'K14n2123']"
K15n115444,"[1, 2, 5, 4, 14, 11]","['K15n115444', 'K15n75212']"
K15n27478,"[1, 1, 2, 4, 10, 8]","['K15n27478', 'K15n27896']"
K15n21809,"[1, 1, 2, 2, 4, 9]","['K15n21809', 'K15n29442']"
K15a5534,"[1, 2, 4, 1, 11, 7]","['K15a5534', 'K15a8417']"
K14n5132,"[1, 2, 4, 2, 11, 5]","['K14n5132', 'K14n5416']"
K15n1272,"[1, 1, 2, 2, 8, 5]","['K15n1272', 'K15n1312']"
K15a2556,"[1, 2, 5, 3, 17, 16]","['K15a2556', 'K15a2568']"
K15n39403,"[1, 2, 5, 2, 12, 14]","['K15n39403', 'K15n39420']"
K14a1153,"[1, 1, 1, 2, 2, 5]","['K14a1153', 'K14a1291']"
K15n43667,"[1, 2, 1, 3, 13, 9]","['K15n43667', 'K15n43830']"
K15n6461,"[1, 1, 2, 2, 8, 11]","['K15n6461', 'K15n6823']"
K14n1883,"[1, 1, 2, 2, 8, 14]","['K14n1883', 'K14n1898']"
K15a56610,"[1, 2, 4, 2, 11, 6]","['K15a56610', 'K15a59271']"
K15n10411,"[1, 1, 1, 3, 3, 8]","['K15n10411', 'K15n6290']"
K15a9696,"[1, 1, 1, 3, 1, 6]","['K15a9696', 'K15a9727']"
K15n29630,"[1, 1, 1, 5, 17, 17]","['K15n29630', 'K15n29660']"
K15a57005,"[1, 2, 5, 5, 21, 14]","['K15a57005', 'K15a57122']"
K15n10141,"[1, 1, 1, 4, 7, 12]","['K15n10141', 'K15n9917']"
K14a5597,"[1, 1, 1, 3, 5, 4]","['K14a5597', 'K14a5604']"
K14n4949,"[1, 1, 1, 3, 7, 5]","['K14n4949', 'K14n5400']"
K14a2827,"[1, 2, 5, 5, 18, 11]","['K14a2827', 'K14a2835']"
K15n36971,"[1, 2, 1, 2, 3, 5]","['K15n36971', 'K15n37007']"
K15a8592,"[1, 2, 1, 2, 8, 8]","['K15a8592', 'K15a8599']"
K15a7962,"[1, 2, 1, 4, 6, 9]","['K15a7962', 'K15a7991']"
K15a58311,"[1, 1, 1, 3, 7, 7]","['K15a58311', 'K15a59179']"
K15n18914,"[1, 1, 1, 1, 5, 5]","['K15n18914', 'K15n20274']"
K15n33051,"[1, 2, 5, 2, 18, 9]","['K15n33051', 'K15n34180']"
K15n10549,"[1, 1, 1, 1, 1, 9]","['K15n10549', 'K15n6356']"
K15a10115,"[1, 2, 1, 3, 17, 11]","['K15a10115', 'K15a10121']"
K15n21055,"[1, 1, 2, 8, 14, 9]","['K15n21055', 'K15n21206']"
K15n4069,"[1, 2, 4, 1, 9, 7]","['K15n4069', 'K15n4241']"
K14a718,"[1, 1, 2, 2, 8, 12]","['K14a718', 'K14a736']"
K15n118812,"[1, 1, 1, 5, 14, 14]","['K15n118812', 'K15n118852']"
K15n5243,"[1, 1, 1, 3, 4, 10]","['K15n5243', 'K15n6045']"
K14a760,"[1, 2, 5, 3, 15, 15]","['K14a760', 'K14a819']"
K15a10090,"[1, 1, 1, 2, 4, 7]","['K15a10090', 'K15a10867']"
K14n20295,"[1, 1, 2, 3, 9, 8]","['K14n20295', 'K14n20912']"
K15n8107,"[1, 2, 5, 3, 17, 17]","['K15n8107', 'K15n9984']"
K14a14043,"[1, 1, 2, 2, 14, 37]","['K14a14043', 'K14a14671']"
K15n33350,"[1, 2, 5, 3, 13, 25]","['K15n33350', 'K15n33418']"
K15n10968,"[1, 2, 5, 10, 38, 30]","['K15n10968', 'K15n6654', 'K15n6669']"
K15a61329,"[1, 1, 1, 3, 4, 10]","['K15a61329', 'K15a63529']"
K15n2711,"[1, 1, 2, 5, 7, 8]","['K15n2711', 'K15n2967']"
K15n10191,"[1, 1, 1, 5, 9, 11]","['K15n10191', 'K15n8117']"
K15a4121,"[1, 1, 1, 1, 3, 9]","['K15a4121', 'K15a4579']"
K15n1196,"[1, 1, 2, 2, 6, 14]","['K15n1196', 'K15n702']"
K15n1328,"[1, 2, 4, 2, 20, 10]","['K15n1328', 'K15n931']"
K15n6974,"[1, 1, 1, 1, 3, 13]","['K15n6974', 'K15n9516']"
K15n7602,"[1, 1, 1, 1, 1, 4]","['K15n7602', 'K15n9897']"
K15n8882,"[1, 1, 1, 3, 7, 8]","['K15n8882', 'K15n9335']"
K15a3533,"[1, 1, 1, 3, 5, 7]","['K15a3533', 'K15a3938']"
K15n7286,"[1, 1, 1, 4, 6, 7]","['K15n7286', 'K15n9861']"
K15n10150,"[1, 1, 1, 3, 7, 6]","['K15n10150', 'K15n9925']"
K15n1141,"[1, 1, 2, 2, 10, 8]","['K15n1141', 'K15n700']"
K15n103,"[1, 1, 2, 2, 11, 6]","['K15n103', 'K15n68']"
K15n280,"[1, 1, 2, 2, 11, 7]","['K15n280', 'K15n301']"
K15a31135,"[1, 2, 1, 1, 5, 4]","['K15a31135', 'K15a31758']"
K15a3479,"[1, 1, 1, 6, 4, 6]","['K15a3479', 'K15a4733']"
