K15n62623,"[1, 2, 9, 15, 117, 97]",['K15n62623']
K15n66790,"[1, 2, 9, 15, 117, 93]",['K15n66790']
K15a15794,"[1, 1, 1, 1, 1, 3]",['K15a15794']
K15a15811,"[1, 1, 1, 1, 1, 2]",['K15a15811']
K14n669,"[1, 1, 2, 4, 6, 7]",['K14n669']
K14n901,"[1, 1, 2, 4, 6, 6]",['K14n901']
K15n28950,"[1, 2, 1, 2, 4, 6]",['K15n28950']
K15n29361,"[1, 2, 1, 2, 4, 5]",['K15n29361']
K15n18402,"[1, 1, 1, 3, 15, 21]",['K15n18402']
K15n19305,"[1, 1, 1, 3, 15, 18]",['K15n19305']
K15n118994,"[1, 2, 4, 1, 15, 10]",['K15n118994']
K15n123814,"[1, 2, 4, 1, 15, 8]",['K15n123814']
K15n123844,"[1, 2, 4, 1, 15, 6]",['K15n123844']
K15n19237,"[1, 1, 2, 4, 12, 6]","['K15n19237', 'K15n20717']"
K15n111423,"[1, 2, 5, 2, 16, 11]",['K15n111423']
K15n99744,"[1, 2, 5, 2, 16, 8]",['K15n99744']
K15n118016,"[1, 1, 1, 3, 6, 9]",['K15n118016']
K15n118586,"[1, 1, 1, 3, 6, 16]",['K15n118586']
K15a58528,"[1, 1, 1, 5, 5, 9]","['K15a58528', 'K15a58530']"
K15a58838,"[1, 1, 1, 5, 5, 10]",['K15a58838']
K15a58839,"[1, 1, 1, 5, 5, 14]",['K15a58839']
K15n53673,"[1, 1, 1, 4, 6, 8]","['K15n53673', 'K15n53830']"
K15n83090,"[1, 2, 4, 4, 11, 6]",['K15n83090']
K15n88349,"[1, 2, 4, 4, 11, 7]",['K15n88349']
K15a71701,"[1, 1, 2, 1, 21, 22]",['K15a71701']
K15a76218,"[1, 1, 2, 1, 21, 29]",['K15a76218']
K15n23941,"[1, 1, 1, 3, 8, 8]","['K15n23941', 'K15n24156']"
K15n28083,"[1, 1, 2, 3, 5, 12]",['K15n28083']
K15n4283,"[1, 1, 2, 3, 5, 7]",['K15n4283']
