knot,invariant

K15n9379,{'num_covers_deg_8': 13}
K14n2585,{'num_covers_deg_8': 12}
K15n30496,{'num_covers_deg_8': 10}
K15n46457,{'num_covers_deg_8': 13}
K15n12373,{'num_covers_deg_8': 6}
K15n2889,{'num_covers_deg_8': 7}
K15n118123,{'num_covers_deg_8': 22}
K15n42574,{'num_covers_deg_8': 9}
K15n122447,{'num_covers_deg_8': 10}
K15n15234,{'num_covers_deg_8': 16}
K15n35012,{'num_covers_deg_8': 1}
K15n13643,{'num_covers_deg_8': 6}
K15n43978,{'num_covers_deg_8': 10}
K15a564,{'num_covers_deg_8': 2}
K15n93174,{'num_covers_deg_8': 12}
K15n22331,{'num_covers_deg_8': 30}
K15n23556,{'num_covers_deg_8': 9}
K15a59747,{'num_covers_deg_8': 8}
K15n19556,{'num_covers_deg_8': 4}
K15n12564,{'num_covers_deg_8': 14}
K15n119283,{'num_covers_deg_8': 6}
K14a12863,{'num_covers_deg_8': 5}
K15a53593,{'num_covers_deg_8': 9}
K15a3597,{'num_covers_deg_8': 7}
K15n50795,{'num_covers_deg_8': 4}
K15a1626,{'num_covers_deg_8': 12}
K15n121001,{'num_covers_deg_8': 3}
K15a6859,{'num_covers_deg_8': 5}
